image_id,fold_model,label,generator_id,real_domain,original_role,p_ai
EXT_REAL_0011,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.012263447046279907
EXT_REAL_0012,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.004817635752260685
EXT_REAL_0033,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0379115454852581
EXT_REAL_0034,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.005910458043217659
EXT_REAL_0040,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.005902476143091917
EXT_REAL_0042,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.010865090414881706
EXT_REAL_0045,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.004086728673428297
EXT_REAL_0056,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00011468966113170609
EXT_REAL_0058,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.005585124250501394
EXT_REAL_0068,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.010324999690055847
EXT_REAL_0076,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0035660723224282265
EXT_REAL_0078,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.10535919666290283
EXT_REAL_0085,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.005550906993448734
EXT_REAL_0088,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0005691497935913503
EXT_REAL_0092,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.021030399948358536
EXT_REAL_0097,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0009067894425243139
EXT_REAL_0105,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.001681353896856308
EXT_REAL_0119,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.004442666657269001
EXT_REAL_0142,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.020137427374720573
EXT_REAL_0148,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.012148337438702583
EXT_REAL_0150,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0027569616213440895
EXT_REAL_0151,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0006888837087899446
EXT_REAL_0156,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.045828573405742645
EXT_REAL_0157,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0061953444965183735
EXT_REAL_0168,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.00595832010731101
EXT_REAL_0172,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.006529075559228659
EXT_REAL_0176,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.0007141467649489641
EXT_REAL_0178,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.2430281937122345
EXT_REAL_0201,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.007522512227296829
EXT_REAL_0211,4,0,real::COCO,COCO,REAL_INTERNAL_HOLDOUT,0.002993701258674264
